invoice_id,customer_id,invoice_date,due_date,amount,currency,status,payment_date
AR001,C001,2024-01-05,2024-02-04,250.00,USD,paid,2024-01-28
AR002,C002,2024-01-12,2024-02-11,89.99,USD,paid,2024-02-10
AR003,C003,2024-01-20,2024-02-19,175.25,USD,paid,2024-02-15
AR004,C004,2024-01-08,2024-02-07,430.00,USD,paid,2024-02-05
AR005,C005,2024-02-14,2024-03-16,67.80,USD,paid,2024-03-10
AR006,C006,2024-01-25,2024-02-24,312.45,EUR,paid,2024-02-20
AR007,C007,2024-02-05,2024-03-07,88.00,USD,paid,2024-03-05
AR008,C008,2024-01-30,2024-03-01,145.60,USD,overdue,
AR009,C009,2024-03-10,2024-04-09,520.00,USD,pending,
AR010,C010,2024-02-20,2024-03-22,210.30,USD,paid,2024-03-20
AR011,C011,2024-01-18,2024-02-17,95.40,USD,paid,2024-02-14
AR012,C012,2024-03-05,2024-04-04,680.00,GBP,pending,
AR013,C013,2024-02-22,2024-03-24,155.75,USD,paid,2024-03-22
AR014,C014,2024-01-28,2024-02-27,42.99,USD,paid,2024-02-25
AR015,C015,2024-03-15,2024-04-14,290.00,USD,pending,
AR016,C016,2024-02-08,2024-03-10,178.50,USD,paid,2024-03-08
AR017,C017,2024-01-14,2024-02-13,365.00,USD,paid,2024-02-10
AR018,C019,2024-02-25,2024-03-27,445.60,USD,overdue,
AR019,C020,2024-01-22,2024-02-21,230.00,USD,paid,2024-02-18
AR020,C002,2024-03-15,2024-04-14,340.00,USD,pending,
