order_id,customer_id,order_date,status,total_amount,shipping_amount,sales_rep_id,region,channel
ORD001,C001,2024-01-05,completed,250.00,12.99,SR01,Northeast,online
ORD002,C002,2024-01-12,completed,89.99,8.50,SR02,West,online
ORD003,C003,2024-01-20,completed,175.25,0.00,SR03,Midwest,store
ORD004,C004,2024-01-08,completed,430.00,15.99,SR01,South,online
ORD005,C005,2024-02-14,completed,67.80,0.00,SR04,West,store
ORD006,C006,2024-01-25,completed,312.45,12.99,SR05,Northeast,online
ORD007,C007,2024-02-05,completed,88.00,0.00,SR06,South,store
ORD008,C008,2024-01-30,shipped,145.60,9.99,SR02,West,online
ORD009,C009,2024-03-10,completed,520.00,0.00,SR07,South,online
ORD010,C010,2024-02-20,completed,210.30,0.00,SR04,West,store
ORD011,C011,2024-01-18,completed,95.40,8.50,SR06,South,online
ORD012,C012,2024-03-05,processing,680.00,15.99,SR08,Southeast,online
ORD013,C013,2024-02-22,completed,155.75,0.00,SR02,West,store
ORD014,C014,2024-01-28,completed,42.99,5.99,SR09,Midwest,online
ORD015,C015,2024-03-15,shipped,290.00,12.99,SR05,Northeast,online
ORD016,C002,2024-03-15,completed,340.00,12.99,SR02,West,online
ORD017,C005,2024-03-01,completed,199.99,8.50,SR04,West,online
ORD018,C016,2024-02-08,completed,178.50,0.00,SR10,West,store
ORD019,C017,2024-01-14,completed,365.00,12.99,SR03,Midwest,online
ORD020,C019,2024-02-25,completed,445.60,0.00,SR06,South,store
