price_id,product_id,effective_date,end_date,list_price,sale_price
PP001,P001,2023-03-15,2023-12-31,79.99,75.00
PP002,P001,2024-01-01,,75.00,75.00
PP003,P002,2023-01-20,2023-08-31,49.99,45.00
PP004,P002,2023-09-01,,45.00,45.00
PP005,P003,2023-05-10,,89.99,89.99
PP006,P004,2023-06-01,2023-11-30,155.00,145.00
PP007,P004,2023-12-01,,145.00,145.00
PP008,P005,2023-04-18,,100.00,100.00
PP009,P006,2023-02-14,2024-01-31,72.00,67.80
PP010,P006,2024-02-01,,67.80,67.80
PP011,P007,2023-07-22,,53.75,53.75
PP012,P008,2023-08-05,2024-02-28,135.00,125.00
PP013,P008,2024-03-01,,125.00,125.00
PP014,P009,2023-09-12,,50.60,50.60
PP015,P010,2023-10-01,,150.00,150.00
PP016,P011,2023-04-25,,120.00,120.00
PP017,P012,2022-11-15,,85.00,85.00
PP018,P013,2023-06-20,,95.00,95.00
PP019,P014,2023-08-30,,35.00,35.00
PP020,P015,2023-03-10,,130.00,130.00
